40,15,,,,,,,,,,,,,,
subject_id,total_system_time_ms,num_map_moves,time_viewing_concept_map_ms,time_viewing_graded_questions_ms,time_viewing_graded_explanations_ms,time_viewing_ungraded_explanations_ms,time_viewing_notes_ms,time_viewing_science_book_ms,num_science_book_page_views,num_causal_link_adds,num_causal_link_adds_effective,num_entity_adds,num_graded_questions_views,num_graded_expl_views,Final_Map_Score
-1,13212216,414,7600151,2822965,447986,60313,1360,2796279,229,75,30,73,123,46,12
-1,13258470,67,6788012,463056,149254,73945,47015,5881267,152,30,9,46,32,11,-1
-1,13072867,142,5645441,1262345,573472,201860,1270534,4746945,156,38,13,39,72,50,1
-1,12675402,243,6729353,1473138,106651,25893,180327,4276956,295,53,37,64,92,9,17
-1,9005214,96,2824382,550850,233550,56665,1363,5597177,446,17,9,23,12,8,3
-1,13004436,309,5722267,1013034,184817,60105,55391,6086994,270,30,16,32,53,62,8
-1,13292956,44,7270477,1285819,45730,198106,552,4704007,178,24,9,33,37,4,3
-1,13242015,115,6792945,2377399,543683,21609,14033,3922612,143,49,26,24,76,28,25
-1,9496497,191,5128614,927403,62230,67914,2073,3422034,215,23,11,37,53,11,8
-1,12910353,336,5079423,2725835,834423,26347,40997,5052199,203,59,35,91,174,61,20
-1,12310935,371,6862392,2024299,997229,49653,35936,3280291,148,34,15,24,70,84,10
-1,11036057,507,7775740,1190868,78924,239964,0,2157573,181,85,43,24,105,24,20
-1,12341723,56,3555484,2075892,580809,105326,88313,6484077,181,14,10,24,68,44,7
-1,9473999,110,5572452,1577832,428194,242919,14429,2364186,138,41,12,36,71,23,-1
-1,13312746,535,8778181,2546107,804087,188825,0,1198146,57,27,11,29,61,33,2
-1,11581867,426,6260996,2270381,1329554,58614,35360,2818462,245,55,22,25,167,260,6
-1,11575010,223,3720196,1357506,794768,33855,333829,5392373,144,24,11,25,60,57,5
-1,11907391,108,5369155,2023833,225292,216865,0,4311248,78,26,16,20,32,23,9
-1,10800966,138,4768859,2033092,818850,77765,26727,3985380,379,39,20,24,125,59,18
-1,12849057,213,4318718,578933,63660,41177,240100,7650208,250,46,5,69,46,11,0
1,12953350,391,7262004,4023665,1399711,42125,9169,1643431,136,80,37,22,186,90,25
1,12593211,331,6411648,2377067,1773553,80677,57992,3717375,257,53,24,58,129,208,5
1,13064804,131,7551214,2536531,823500,342821,156973,2818106,103,34,15,38,45,26,12
1,13318915,239,7505562,2440174,856338,41598,20144,3187469,160,45,10,28,95,94,3
1,11796695,304,4781467,2365082,1444085,13386,239735,4370790,250,45,26,29,175,145,20
1,12397202,456,8761159,2059792,332131,29834,0,1530432,232,53,26,50,108,10,10
1,12717925,228,5307921,1293369,269022,0,8288,6089640,176,38,23,32,63,66,15
1,12997800,84,6033690,2507213,835199,167572,47525,4387871,185,41,14,33,70,78,4
1,12811582,104,5133869,4102109,320724,7137,439,3535720,129,41,16,43,100,44,9
1,13264821,254,6820793,2686828,1176835,9658,28152,3725681,201,55,25,36,102,100,15
1,12589699,299,6418700,2698003,527692,7972,10591,3448680,206,65,32,50,127,37,14
1,10245910,257,5898004,2434555,1304213,57215,2022,1881083,283,75,30,26,129,165,25
1,8187372,130,4378312,1617005,115029,99718,1142,2130558,153,61,33,22,75,10,25
1,11861184,276,5532260,3315302,1105319,16162,78188,2891867,138,49,26,34,96,33,16
1,11567063,203,7180689,2176367,259891,81101,0,2109072,161,112,41,50,152,14,16
1,11532413,127,7205725,2021912,280052,9658,45135,2188133,92,66,34,49,64,20,14
1,7683477,203,4414252,1573243,1084676,26116,1251,1662546,206,40,26,25,77,112,25
1,8786041,192,5226725,1171219,236233,56193,0,2340679,184,62,37,31,75,27,25
1,11656281,364,6349680,2568019,436803,3778,420956,2261025,142,66,37,36,122,27,25
1,7197698,84,2777173,1922710,766359,2629,192105,2217793,66,43,27,25,53,23,25
